# time msd_polymer msd_dumbbell msd_dumbbell_x msd_dumbbell_y msd_dumbbell_z
 164830.0000 62422.67532550 191020.48135198 71744.03688240 30310.78785411 88965.65661545
 164840.0000 62426.18724946 191031.40983201 71745.23434847 30309.65066426 88976.52481927
 164850.0000 62429.70446372 191042.33169392 71746.43604950 30308.44688448 88987.44875991
 164860.0000 62433.23327150 191053.45024093 71747.67580103 30307.28145845 88998.49298143
 164870.0000 62436.77423519 191064.59917487 71748.84116669 30306.13706978 89009.62093839
 164880.0000 62440.30702749 191075.77507697 71749.94461376 30305.05427416 89020.77618904
 164890.0000 62443.84283869 191086.83262059 71750.96380836 30303.96986646 89031.89894575
 164900.0000 62447.39123331 191098.00157872 71752.04942270 30302.91848449 89043.03367152
 164910.0000 62450.94565682 191109.17225042 71753.18732566 30301.85850925 89054.12641550
 164920.0000 62454.49282521 191120.38073138 71754.32305472 30300.83959289 89065.21808376
 164930.0000 62458.04570946 191131.48755705 71755.36497035 30299.83645170 89076.28613498
 164940.0000 62461.60135027 191142.49890045 71756.37960918 30298.79384261 89087.32544863
 164950.0000 62465.15433209 191153.36344776 71757.37107795 30297.72991127 89098.26245852
 164960.0000 62468.71368042 191164.19402325 71758.29380306 30296.61278269 89109.28743748
 164970.0000 62472.26362209 191174.96469917 71759.23900618 30295.50833923 89120.21735374
 164980.0000 62475.80411965 191185.67016701 71760.16975195 30294.30323440 89131.19718064
 164990.0000 62479.34296538 191196.37634450 71761.14039792 30293.08329990 89142.15264666
 165000.0000 62482.88254056 191207.13154592 71762.13329328 30291.87435189 89153.12390073
 165010.0000 62486.42258878 191217.88312472 71763.17105758 30290.66589180 89164.04617532
 165020.0000 62489.94674766 191228.59272145 71764.15852432 30289.50229491 89174.93190220
 165030.0000 62493.46896772 191239.34313926 71765.16233968 30288.41364217 89185.76715739
 165040.0000 62496.98390066 191250.14303355 71766.12681415 30287.38794984 89196.62826954
 165050.0000 62500.50522606 191261.09279585 71767.07748804 30286.37139802 89207.64390977
 165060.0000 62504.04837542 191272.05324576 71768.07917697 30285.33549154 89218.63857724
 165070.0000 62507.58473652 191282.89750915 71768.92336087 30284.24277272 89229.73137555
 165080.0000 62511.11501254 191293.70756546 71769.71896076 30283.07588669 89240.91271800
 165090.0000 62514.65090058 191304.51781137 71770.59017029 30281.90541284 89252.02222822
 165100.0000 62518.19355422 191315.34428503 71771.58187762 30280.68464506 89263.07776233
 165110.0000 62521.73773214 191326.15781159 71772.55064830 30279.50423736 89274.10292592
 165120.0000 62525.29136283 191336.99047341 71773.50290759 30278.32051136 89285.16705444
 165130.0000 62528.84923851 191347.69095372 71774.45191266 30277.06021794 89296.17882311
 165140.0000 62532.40101277 191358.22740440 71775.33894818 30275.71769366 89307.17076255
 165150.0000 62535.93935955 191368.74735664 71776.22079182 30274.33824697 89318.18831784
 165160.0000 62539.47540322 191379.20995093 71777.03201836 30272.96999257 89329.20793999
 165170.0000 62543.01229400 191389.94449362 71777.89469561 30271.74528499 89340.30451300
 165180.0000 62546.55460869 191400.84699680 71778.73990454 30270.57821662 89351.52887562
 165190.0000 62550.08535509 191411.73899155 71779.55351405 30269.47122027 89362.71425721
 165200.0000 62553.61737038 191422.78785665 71780.30955378 30268.43168220 89374.04662065
 165210.0000 62557.15521658 191433.60296478 71781.06660912 30267.28500689 89385.25134875
 165220.0000 62560.70649009 191444.43091849 71781.81435168 30266.14059483 89396.47597197
